DATA (YYYY-MM-DD),Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",ESTACAO
2020-01-01,0000 UTC,0.0,908.1,908.2,907.4,,22.7,19.3,23.1,22.7,19.4,19.2,81.0,79.0,81.0,82.0,3.3,0.3,A807
2020-01-01,0100 UTC,0.0,908.0,908.2,908.0,,22.0,19.2,22.9,22.0,19.4,19.2,84.0,81.0,84.0,71.0,3.2,1.1,A807
2020-01-01,0200 UTC,0.0,907.5,908.1,907.5,,21.5,,22.0,21.4,,,,,,52.0,3.5,1.1,A807
2020-01-01,0300 UTC,0.0,907.1,907.5,907.1,,21.2,,21.5,21.1,,,,,,64.0,3.6,0.9,A807
2020-01-01,0400 UTC,0.0,907.1,907.3,907.0,,21.4,,21.5,21.2,,,,,,46.0,3.4,1.5,A807
2020-01-01,0500 UTC,0.0,906.5,907.1,906.5,,21.1,,21.4,21.1,,,,,,75.0,3.4,0.3,A807
2020-01-01,0600 UTC,0.0,906.3,906.5,906.2,,20.8,,21.2,20.8,,,,,,28.0,2.6,0.2,A807
2020-01-01,0700 UTC,0.0,906.0,906.3,906.0,,20.9,,20.9,20.7,,,,,,11.0,2.7,0.2,A807
2020-01-01,0800 UTC,0.0,906.5,906.5,906.0,22.5,21.1,19.4,21.1,20.7,,,,,90.0,329.0,1.8,0.0,A807
2020-01-01,0900 UTC,0.0,906.7,906.7,906.5,304.4,22.3,18.2,22.4,21.0,19.1,18.1,90.0,77.0,77.0,30.0,3.7,0.2,A807
2020-01-01,1000 UTC,0.0,907.0,907.0,906.7,693.1,24.0,18.5,24.0,22.3,18.6,18.0,78.0,71.0,71.0,300.0,3.3,1.6,A807
2020-01-01,1100 UTC,0.0,907.2,907.2,907.0,1379.4,25.3,18.4,25.5,23.7,18.6,17.9,71.0,64.0,65.0,304.0,4.9,2.5,A807
2020-01-01,1200 UTC,0.0,907.2,907.3,907.1,2416.1,28.4,18.2,28.4,25.3,19.2,17.3,66.0,54.0,54.0,294.0,7.2,3.3,A807
2020-01-01,1300 UTC,0.0,906.6,907.2,906.6,3598.9,29.8,17.4,30.5,28.0,18.4,16.6,54.0,44.0,47.0,259.0,7.7,4.0,A807
2020-01-01,1400 UTC,0.0,906.0,906.6,905.9,3656.8,30.0,14.8,31.8,29.1,17.7,14.8,48.0,38.0,40.0,249.0,7.7,3.8,A807
2020-01-01,1500 UTC,0.0,905.1,906.0,905.1,2881.9,30.5,15.0,32.2,27.8,17.8,14.5,49.0,37.0,39.0,243.0,10.9,4.4,A807
2020-01-01,1600 UTC,0.0,904.6,905.1,904.5,1912.7,29.8,15.3,32.1,29.8,16.3,13.9,41.0,34.0,41.0,240.0,8.7,4.1,A807
2020-01-01,1700 UTC,0.0,903.6,904.6,903.6,2272.4,29.9,14.2,31.0,28.6,15.9,13.6,46.0,35.0,38.0,233.0,9.5,4.5,A807
2020-01-01,1800 UTC,0.0,904.0,904.0,903.5,674.5,27.7,16.2,30.3,27.6,16.2,13.5,50.0,37.0,50.0,242.0,10.9,3.6,A807
2020-01-01,1900 UTC,0.0,903.4,904.1,903.3,587.8,27.8,16.9,28.0,26.4,18.0,16.3,60.0,50.0,52.0,288.0,7.1,2.0,A807
2020-01-01,2000 UTC,0.0,904.1,904.2,903.4,348.8,25.8,18.6,27.9,25.4,19.0,16.8,67.0,51.0,65.0,320.0,5.8,1.8,A807
2020-01-01,2100 UTC,0.0,905.3,905.4,904.1,135.9,24.2,18.5,26.0,24.2,18.9,17.5,71.0,61.0,71.0,145.0,7.3,1.5,A807
2020-01-01,2200 UTC,0.0,905.9,905.9,905.3,,22.5,17.7,24.2,22.3,19.3,17.6,80.0,71.0,75.0,134.0,5.9,0.0,A807
2020-01-01,2300 UTC,0.0,906.8,906.8,905.9,,22.8,18.8,22.8,22.4,19.1,17.8,80.0,75.0,78.0,124.0,2.2,0.3,A807
2020-01-02,0000 UTC,0.2,907.7,907.7,906.8,,21.4,,22.9,21.4,,,,,,164.0,4.7,1.7,A807
2020-01-02,0100 UTC,3.2,906.7,907.8,906.7,,20.4,,21.4,20.1,,,,,,122.0,4.7,0.3,A807
2020-01-02,0200 UTC,0.2,906.0,906.7,906.0,,20.1,,20.4,20.0,,,,,,274.0,1.9,0.8,A807
2020-01-02,0300 UTC,1.2,905.7,906.3,905.7,,20.2,,20.6,20.0,,,,,,348.0,4.5,1.5,A807
2020-01-02,0400 UTC,0.2,904.9,905.7,904.9,,20.4,,20.4,20.1,,,,,,357.0,4.2,1.0,A807
2020-01-02,0500 UTC,0.2,905.0,905.1,904.9,,20.4,,20.5,20.3,,,,,,281.0,3.0,0.2,A807
2020-01-02,0600 UTC,0.0,905.4,905.4,905.0,,20.4,,20.5,20.2,,,,,,234.0,1.5,0.2,A807
2020-01-02,0700 UTC,0.0,905.4,905.6,905.3,,20.0,,20.5,20.0,,,,,,272.0,2.7,1.4,A807
2020-01-02,0800 UTC,0.0,905.7,905.7,905.4,39.0,19.8,,20.0,19.7,,,,,,286.0,2.8,1.1,A807
2020-01-02,0900 UTC,0.0,906.5,906.5,905.7,542.6,22.1,19.1,22.1,19.8,,,,,83.0,298.0,2.5,1.4,A807
2020-01-02,1000 UTC,0.0,906.8,906.8,906.5,1410.4,24.2,18.6,24.2,21.9,19.1,18.1,83.0,70.0,71.0,218.0,3.2,0.4,A807
2020-01-02,1100 UTC,0.0,907.2,907.2,906.8,1299.2,25.0,18.7,25.2,23.9,19.2,18.1,72.0,66.0,68.0,140.0,1.9,0.3,A807
2020-01-02,1200 UTC,0.0,907.4,907.5,907.2,1383.9,24.9,19.4,25.9,24.0,20.5,18.2,75.0,67.0,71.0,100.0,5.1,2.0,A807
2020-01-02,1300 UTC,0.0,907.1,907.4,907.0,1313.0,25.7,19.6,25.8,24.2,19.9,18.7,74.0,66.0,69.0,118.0,5.1,1.7,A807
2020-01-02,1400 UTC,0.0,907.0,907.2,906.9,1382.7,24.9,19.3,25.9,24.0,19.6,18.6,75.0,65.0,71.0,123.0,8.0,2.7,A807
2020-01-02,1500 UTC,12.4,907.4,907.6,907.0,301.1,21.3,,24.9,21.2,,,,,,76.0,8.3,2.1,A807
2020-01-02,1600 UTC,0.4,907.0,907.4,906.9,779.7,21.7,,21.9,21.2,,,,,,64.0,5.4,2.3,A807
2020-01-02,1700 UTC,0.0,906.6,907.2,906.6,738.5,22.2,19.7,22.4,21.4,,,,,86.0,76.0,6.6,2.7,A807
2020-01-02,1800 UTC,0.0,906.4,906.6,906.1,1745.1,22.2,18.0,23.1,22.2,20.0,18.0,86.0,77.0,77.0,72.0,8.0,3.4,A807
