DATA (YYYY-MM-DD),Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",ESTACAO
2019-01-01,0000 UTC,0.0,911.6,911.8,911.5,,21.3,17.4,22.3,21.3,17.7,17.4,78.0,75.0,78.0,74.0,6.9,3.2,A807
2019-01-01,0100 UTC,0.0,911.6,911.7,911.5,,20.8,17.1,21.3,20.8,17.4,17.0,79.0,78.0,79.0,72.0,7.2,3.0,A807
2019-01-01,0200 UTC,0.0,911.4,911.7,911.4,,20.4,16.6,20.9,20.4,17.2,16.6,80.0,79.0,79.0,98.0,6.3,2.0,A807
2019-01-01,0300 UTC,0.0,911.2,911.4,911.2,,20.1,16.1,20.4,20.1,16.6,16.1,79.0,78.0,78.0,73.0,4.9,1.8,A807
2019-01-01,0400 UTC,0.0,910.8,911.2,910.7,,19.6,16.1,20.1,19.6,16.1,15.9,80.0,77.0,80.0,86.0,4.9,0.9,A807
2019-01-01,0500 UTC,0.0,910.8,910.9,910.7,,19.1,19.0,19.6,19.0,19.0,16.1,99.0,80.0,99.0,97.0,3.7,0.3,A807
2019-01-01,0600 UTC,0.0,911.0,911.0,910.7,,18.9,,19.1,18.7,,,,,,69.0,3.5,1.7,A807
2019-01-01,0700 UTC,0.0,911.7,911.7,911.0,,18.6,,18.9,18.6,,,,,,96.0,4.1,0.7,A807
2019-01-01,0800 UTC,0.0,912.5,912.5,911.7,20.4,17.8,,18.6,17.8,,,,,,244.0,2.8,0.0,A807
2019-01-01,0900 UTC,0.0,913.2,913.3,912.5,441.7,20.0,16.9,20.1,17.7,,,,,83.0,185.0,1.4,0.3,A807
2019-01-01,1000 UTC,0.0,913.7,913.8,913.2,1098.5,21.6,16.8,22.2,19.8,17.3,15.9,83.0,70.0,74.0,68.0,4.2,1.2,A807
2019-01-01,1100 UTC,0.0,914.1,914.1,913.7,1690.3,23.5,16.0,23.9,21.6,17.1,15.8,74.0,63.0,63.0,52.0,5.5,2.7,A807
2019-01-01,1200 UTC,0.0,913.9,914.2,913.9,2529.7,24.7,16.4,24.9,23.5,16.9,15.4,65.0,58.0,60.0,47.0,5.9,2.1,A807
2019-01-01,1300 UTC,0.0,913.7,913.9,913.7,3337.2,25.9,15.8,26.6,24.7,17.2,14.7,60.0,51.0,54.0,56.0,6.2,2.1,A807
2019-01-01,1400 UTC,0.0,913.5,913.7,913.5,3777.8,27.2,14.6,28.0,25.9,17.1,14.3,55.0,44.0,46.0,36.0,6.2,2.7,A807
2019-01-01,1500 UTC,0.0,913.0,913.5,913.0,3609.7,28.5,13.5,28.9,27.2,17.1,13.1,52.0,39.0,40.0,277.0,8.4,0.8,A807
2019-01-01,1600 UTC,0.0,912.2,913.0,912.2,2905.0,29.4,14.2,30.3,27.7,16.1,12.7,44.0,37.0,39.0,6.0,5.0,1.8,A807
2019-01-01,1700 UTC,0.0,911.5,912.2,911.5,2501.1,29.8,15.6,31.3,28.8,15.6,12.1,42.0,33.0,42.0,108.0,5.1,1.8,A807
2019-01-01,1800 UTC,0.0,911.0,911.5,910.9,3090.4,29.5,17.8,30.8,29.4,17.9,14.3,50.0,39.0,49.0,100.0,7.8,3.8,A807
2019-01-01,1900 UTC,0.0,910.6,911.0,910.6,1500.1,27.4,17.9,29.5,27.2,18.8,16.9,56.0,49.0,56.0,85.0,7.8,3.2,A807
2019-01-01,2000 UTC,0.0,910.8,910.8,910.5,888.2,26.0,18.0,28.1,26.0,18.7,17.7,62.0,54.0,61.0,78.0,8.4,4.0,A807
2019-01-01,2100 UTC,0.0,911.5,911.5,910.7,338.8,23.3,18.4,26.1,23.3,18.7,18.1,74.0,62.0,74.0,90.0,8.4,3.5,A807
2019-01-01,2200 UTC,0.0,912.5,912.5,911.5,7.2,22.1,18.4,23.4,22.1,18.6,18.1,80.0,74.0,80.0,80.0,8.3,3.5,A807
